T(K),cp(J/kg-K)
175,13120
200,13530
225,13830
250,14050
275,14200
300,14310
325,14380
350,14430
375,14460
400,14480
450,14500
500,14510
550,14530
600,14550
650,14570
700,14600
750,14650
800,14710
850,14770
900,14830
950,14900
1000,14980
1050,15060
1100,15150
1150,15250
1200,15340
1250,15440
1300,15540
1350,15650
1400,15770
1500,16020
1600,16230
1700,16440
1800,16640
1900,16830
2000,17010
2100,17180
2200,17350
2300,17500
2400,17650
2500,17800
2600,17930
2700,18060
2800,18170
2900,18280
3000,18390
